feature_selector,feature_selector_params,classifier,classifier_params,n_features,accuracy,accuracy_std,accuracy_top_20pc,elapsed_time
SelectFromModel,{'threshold': -Infinity},GradientBoostingClassifier,"{'n_estimators': 100, 'learning_rate': 0.1, 'subsample': 0.5}",1,0.5482,0.007678541528180994,0.633,42.28646178245545
SelectFromModel,{'threshold': -Infinity},GradientBoostingClassifier,"{'n_estimators': 100, 'learning_rate': 0.1, 'subsample': 0.5}",1,0.5522,0.010851727973000406,0.635,41.942522048950195
SelectFromModel,{'threshold': -Infinity},GradientBoostingClassifier,"{'n_estimators': 100, 'learning_rate': 0.1, 'subsample': 1}",1,0.5588,0.007547184905645248,0.645,87.30741996765137
SelectFromModel,{'threshold': -Infinity},GradientBoostingClassifier,"{'n_estimators': 100, 'learning_rate': 0.1, 'subsample': 0.5}",2,0.6026,0.006945502141674141,0.689,42.16929264068604
SelectFromModel,{'threshold': -Infinity},GradientBoostingClassifier,"{'n_estimators': 100, 'learning_rate': 0.1, 'subsample': 1}",2,0.599,0.006572670690061999,0.693,89.19429821968079
SelectFromModel,{'threshold': -Infinity},GradientBoostingClassifier,"{'n_estimators': 100, 'learning_rate': 0.1, 'subsample': 0.5}",3,0.6394000000000001,0.006086049621881181,0.713,42.080256128311156
SelectFromModel,{'threshold': -Infinity},GradientBoostingClassifier,"{'n_estimators': 100, 'learning_rate': 0.1, 'subsample': 1}",3,0.6304000000000001,0.003611094017053561,0.73,89.15637769699097
SelectFromModel,{'threshold': -Infinity},GradientBoostingClassifier,"{'n_estimators': 100, 'learning_rate': 0.1, 'subsample': 0.5}",4,0.6519999999999999,0.009402127418834534,0.7350000000000001,42.54039969444275
SelectFromModel,{'threshold': -Infinity},GradientBoostingClassifier,"{'n_estimators': 100, 'learning_rate': 0.1, 'subsample': 1}",4,0.6552,0.008541662601625057,0.755,93.05212955474853
SelectFromModel,{'threshold': -Infinity},GradientBoostingClassifier,"{'n_estimators': 100, 'learning_rate': 0.1, 'subsample': 0.5}",5,0.679,0.005329165037789696,0.768,45.349039268493655
SelectFromModel,{'threshold': -Infinity},GradientBoostingClassifier,"{'n_estimators': 100, 'learning_rate': 0.1, 'subsample': 0.5}",6,0.7008000000000001,0.0063686733312362685,0.766,48.50391154289245
SelectFromModel,{'threshold': -Infinity},GradientBoostingClassifier,"{'n_estimators': 100, 'learning_rate': 0.1, 'subsample': 0.5}",7,0.6946,0.0033823069050575557,0.779,44.32134146690369
SelectFromModel,{'threshold': -Infinity},GradientBoostingClassifier,"{'n_estimators': 100, 'learning_rate': 0.1, 'subsample': 0.5}",8,0.6923999999999999,0.007578918128598534,0.781,43.42149753570557
SelectFromModel,{'threshold': -Infinity},GradientBoostingClassifier,"{'n_estimators': 100, 'learning_rate': 0.1, 'subsample': 0.5}",9,0.6994,0.012419339757008003,0.7699999999999999,44.8313871383667
SelectFromModel,{'threshold': -Infinity},GradientBoostingClassifier,"{'n_estimators': 100, 'learning_rate': 0.1, 'subsample': 0.5}",10,0.6908000000000001,0.004955804677345504,0.773,43.875915098190305
